sgLinha;codigoLinha;getOrigemIda;destinoIda;nomeLinha
902;885;TERMINAL 1;TERMINAL 1;TERESINA SUL-PALITOLANDIA-BR - AV MIGUEL ROSA
513;77;PLANALTO URUGUAI;PLANALTO URUGUAI;PLANALTO URUGUAI SAO CRISTOVAO
0;0;;;Todas as Paradas
901;264;TERMINAL 1;TERMINAL 1;IRMA DULCE / ESPLANADA / SHOPPING / M.ROSA
802;20;CJ. SANTA FE;CJ. SANTA FE;SANTA FE MARANHAO VIA SANTO ANTONIO
801;18;;;SANTA FE PEDRO FREITAS
904;716;TERMINAL 1;TERMINAL 1;TERESINA SUL-PALITOLANDIA-BR - AV. BARAO
715;166;VL TIRADENTES;VL TIRADENTES;TERESINA SUL-PALITOLANDIA-BARAO
714;165;RES MARIO COVAS;RES MARIO COVAS;HD-MARIO COVAS-DIGNIDADE BARAO
713;87;CERAMICA CIL;CERAMICA CIL;CERAMICA CIL BARAO
712;16;;;HD-PORTAL DA ALEGRIA-SANTA CLARA BARAO
711;86;CONJ. VAMOS VER;CONJ. VAMOS VER;VILA SAO FRANCISCO-PROMORAR BARAO
710;61;A. RESSUREICAO;A. RESSUREICAO;ALTO DA RESSUREICAO/BARAO
709;15;SACY;SACY;SACY BARAO
706;83;PORTO ALEGRE;PORTO ALEGRE;HD-IRMA DULCE-BARAO
705;92;L. PARENTE;L. PARENTE;L. PARENTE-MORADA NOVA BARAO
704;35;JARDIM EUROPA;JARDIM EUROPA;JARDIM EUROPA-TODOS OS SANTOS BARAO
703;91;PARQUE JUREMA;PARQUE JUREMA;PARQUE JUREMA DIRCEU II BARAO
702;34;SAO PAULO;SAO PAULO;SAO PAULO-RENASCENCA I E III BARAO
688;624;CONJ. VAMOS VER;CONJ. VAMOS VER;OPCIONAL - VILA SAO FRANCISCO MIGUEL ROSA
627;865;PALITOLANDIA;PALITOLANDIA;TERESINA SUL-PALITOLANDIA-MIGUEL ROSA
625;173;PORTAL ALEGRIA;PORTAL ALEGRIA;HD-PORTAL DA ALEGRIA-SANTA CLARA M ROSA
623;164;RES MARIO COVAS;RES MARIO COVAS;HD-MARIO COVAS-DIGNIDADE M ROSA
622;52;PROMORAR;PROMORAR;HD-PROMORAR-SANTA CRUZ MIGUEL ROSA
621;82;PORTO ALEGRE;PORTO ALEGRE;HD-IRMA DULCE-ANGELIM MIGUEL ROSA
620;81;CERAMICA CIL;CERAMICA CIL;CERAMICA CIL MIGUEL ROSA
619;17;JARDIM EUROPA;JARDIM EUROPA;JARDIM-EUROPA TODOS OS SANTOS MIGUEL ROSA
618;51;PROMORAR;PROMORAR;HD-PROMORAR SHOPPING VIA MIGUEL ROSA
617;14;PL. BELA VISTA;PL. BELA VISTA;HD-PLA. BELA VISTA SHOPPING VIA M.
616;98;;;HD-PORTO ALEGRE SHOPPING VIA MIGUEL ROSA
615;13;SACY;SACY;HD-SACY SHOPPING VIA MIGUEL ROSA
614;33;CJ. SANTA FE;CJ. SANTA FE;SANTA FE MIGUEL ROSA VIA SHOPPING
613;97;CONJ. VAMOS VER;CONJ. VAMOS VER;VILA SAO FRANCISCO MIGUEL ROSA
612;59;REDENCAO;REDENCAO;REDENCAO CASA MATER
611;32;A. RESSUREICAO;A. RESSUREICAO;ALTO DA RESSUREICAO PONTE WALL FERRAZ
610;58;TRES ANDARES;TRES ANDARES;TRES ANDARES-C. NOVA MONTE CASTELO
608;80;ANGELIM;ANGELIM;MARIO COVAS ANGELIM / SHOPPING MIGUEL ROSA
606;96;VILA DA GLORIA;VILA DA GLORIA;PORTO ALEGRE-PARQUE PIAUI M. ROSA
605;11;PL. BELA VISTA;PL. BELA VISTA;PLANALTO-BELA VISTA MIGUEL ROSA
604;57;L. PARENTE;L. PARENTE;L. PARENTE-MORADA NOVA MIGUEL ROSA
603;56;PARQUE JUREMA;PARQUE JUREMA;PARQUE JUREMA-DIRCEU II M. ROSA
602;95;SAO PAULO;SAO PAULO;SAO PAULO-RENASCENCA I M. ROSA
601;94;REDONDA;REDONDA;REDONDA-DIRCEU I MIGUEL ROSA
522;79;PLANALTO URUGUAI;PLANALTO URUGUAI;HD-VALE DO GAVIAO-ARVORES VERDE VIA FAET
521;167;TERMINAL 1;TERMINAL 1;NOVA TERESINA SAO CRISTOVAO
520;31;TODOS OS SANTOS;TODOS OS SANTOS;HD-T. OS SANTOS-FREI DAMIAO-JOAO XXIII
519;93;SAO PAULO;SAO PAULO;SAO PAULO-RENASCENCA I PONTE WALL FERRAZ
516;89;L. PARENTE;L. PARENTE;L. PARENTE M. NOVA SHOPPING VIA SAO
515;30;SAO PAULO;SAO PAULO;HD-SAO PAULO SHOPPING VIA SAO JOAO
512;74;VILA BANDEIRANTES;VILA BANDEIRANTES;VILA BANDEIRANTES SAO CRISTOVAO
510;29;PARQUE JUREMA;PARQUE JUREMA;PARQUE JUREMA-DIRCEU II JOAO XXIII
509;28;PARQUE JUREMA;PARQUE JUREMA;HD-PARQUE JUREMA-SHOPPING
508;41;PQ. PROGRESSO;PQ. PROGRESSO;PQ. ITARARE-B. ESPERANCA SAO JOAO
507;27;JARDIM EUROPA;JARDIM EUROPA;JARDIM EUROPA-BOM PRINCIPIO J. XXIII
506;25;SAO PAULO;SAO PAULO;SAO PAULO RENASCENCA I JOAO XXIII
505;23;REDONDA;REDONDA;REDONDA-DIRCEU I JOAO XXIII
503;72;VILA BANDEIRANTES;VILA BANDEIRANTES;V BANDEIRANTES-SATELITE S. CRISTOVAO
502;71;SOCOPO;SOCOPO;SOCOPO-CIDADE JARDIM SAO CRISTOVAO
501;40;ANITA FERRAZ ;ANITA FERRAZ ;ANITA FERRAZ VIA CONJUNTO
404;6;VILA BANDEIRANTES;VILA BANDEIRANTES;VILA BANDEIRANTE DOM SEVERINO
403;5;VILA BANDEIRANTES;VILA BANDEIRANTES;V BANDEIRANTE-SATELITE VIA SHOPPING
402;4;VILA BANDEIRANTES;VILA BANDEIRANTES;VILA BANDEIRANTE-PLANALTO ININGA FREI SERAFIM
401;21;COL. AGRICOLA;COL. AGRICOLA;UNIVERSIDADE
360;10;MOCAMBINHO;MOCAMBINHO;DIAMETRAL MOCAMBINHO-PROMORAR
303;48;SANTA SOFIA;SANTA SOFIA;SANTA SOFIA AV. JOSE S. SILVA
302;47;MOCAMBINHO;MOCAMBINHO;MOCAMBINHO ASSEMBLEIA VIA SHOPPING
301;152;MOCAMBINHO;MOCAMBINHO;MOCAMBINHO DUQUE DE CAXIAS
270;70;MOCAMBINHO;MOCAMBINHO;DIAMETRAL MOCAMBINHO-PORTO ALEGRE
245;241;PLANALTO URUGUAI;PLANALTO URUGUAI;VALE DO GAVIAO / PLANALTO URUGUAI
206;45;BUENOS AIRES;BUENOS AIRES;BUENOS AIRES AEROPORTO
204;69;SANTA MARIA;SANTA MARIA;HD-SANTA MARIA-VASSOURAS FREI SERAFIM
203;68;MOCAMBINHO;MOCAMBINHO;MOCAMBINHO-ALTO ALEGRE FREI SERAFIM
202;67;SANTA MARIA;SANTA MARIA;HD-SANTA MARIA-MONTE VERDE-FREI SERAFIM
201;66;SANTA MARIA;SANTA MARIA;SANTA MARIA DA CODIPI FREI SERAFIM
170;65;POTY VELHO;POTY VELHO;DIAMETRAL POTY VELHO-PL. BELA VISTA
109;1064;JACINTA ANDRADE;JACINTA ANDRADE;SANTA MARIA MONTE VERDE/SHOPPING VIA PQ. ALVORADA
108;158;TERMINAL 1;TERMINAL 1;SANTA MARIA VASSOURA SHOPPING VIA MAFRENSE
106;39;SANTA MARIA;SANTA MARIA;HD-SANTA MARIA-VASSOURAS PQ. ALVORADA
105;38;SANTA MARIA;SANTA MARIA;HD-SANTA MARIA-MONTE VERDE PQ ALVORADA
104;37;SANTA MARIA;SANTA MARIA;SANTA MARIA SHOPPING VIA PQ. ALVORADA
103;43;MOCAMBINHO;MOCAMBINHO;MOCAMBINHO-ALTO ALEGRE MATADOURO
101;36;SANTA MARIA;SANTA MARIA;STA. MARIA DA CODIPI PQ. ALVORADA